seed,net_worth,trades,final_cash,final_position
0,1080.252550710654,4,1080.252550710654,0.0
1,1037.1453059977853,2,1037.1453059977853,0.0
2,850.7788175040645,1,99.26957472978256,9.0
3,1039.119413936805,2,1039.119413936805,0.0
4,1043.2893118519132,2,1043.2893118519132,0.0
5,1042.8463256021828,2,1042.8463256021828,0.0
6,1036.1405745920783,2,1036.1405745920783,0.0
7,924.0380358541918,1,80.20919500912578,9.0
8,1083.7441431923237,4,1083.7441431923237,0.0
9,1084.8001547378185,4,1084.8001547378185,0.0
10,1038.8054516663246,2,1038.8054516663246,0.0
11,1082.1369348010649,4,1082.1369348010649,0.0
12,548.8692344029685,1,91.22184315417326,9.0
13,952.9849964618049,3,6.682718374743672,11.0
14,497.5032338191186,1,81.46813773871622,9.0
15,1009.0001804310009,3,87.55498070587976,10.0
16,1041.8288443981726,2,1041.8288443981726,0.0
17,1039.3238368645584,2,1039.3238368645584,0.0
18,1040.2390550033738,2,1040.2390550033738,0.0
19,940.9255892650029,3,89.61001225044276,10.0
20,1050.9773749282667,2,1050.9773749282667,0.0
21,1035.9834609979664,2,1035.9834609979664,0.0
22,1052.0573038491784,2,1052.0573038491784,0.0
23,1054.6821226756128,3,84.132862143279,10.0
24,1040.7736649018816,2,1040.7736649018816,0.0
25,903.719772283748,1,93.43526990397027,9.0
26,1040.4560449148519,2,1040.4560449148519,0.0
27,1042.556101413675,2,1042.556101413675,0.0
28,1089.1614989555112,4,1089.1614989555112,0.0
29,940.7896953701011,3,6.371979670567725,11.0
30,982.8187139774354,1,7.703729281002893,10.0
31,815.3658022843362,1,99.25147900290574,9.0
32,1045.9199416461206,2,1045.9199416461206,0.0
33,912.6568467865211,1,98.38402995370313,9.0
34,1038.0627147856703,2,1038.0627147856703,0.0
35,1040.5799676381262,2,1040.5799676381262,0.0
36,956.1814266016962,3,0.2568569807617678,11.0
37,1043.5752448325838,2,1043.5752448325838,0.0
38,1039.496367449452,2,1039.496367449452,0.0
39,1080.745793066631,4,1080.745793066631,0.0
