seed,net_worth,trades,final_cash,final_position
0,1035.563693472077,4,1035.563693472077,0.0
1,1014.6043903775969,2,1014.6043903775969,0.0
2,875.1890762680575,3,40.17880651885548,10.0
3,1010.9946524384976,2,1010.9946524384976,0.0
4,1031.6424532302954,4,1031.6424532302954,0.0
5,1026.4382594210776,4,1026.4382594210776,0.0
6,1027.10119072336,4,1027.10119072336,0.0
7,958.3600549885232,3,20.772454049560906,10.0
8,1051.7051477313562,8,1051.7051477313562,0.0
9,1018.9468160345237,4,1018.9468160345237,0.0
10,1026.4006056679161,4,1026.4006056679161,0.0
11,1049.6728799445011,6,1049.6728799445011,0.0
12,538.1574906347341,3,29.660389247183957,10.0
13,899.4908470019283,3,39.2160487409634,10.0
14,497.5032338191186,1,81.46813773871622,9.0
15,960.3735065290423,3,38.928306803921146,10.0
16,1011.8130154193465,2,1011.8130154193465,0.0
17,1042.5042796861276,4,1042.5042796861276,0.0
18,1010.6061135507018,2,1010.6061135507018,0.0
19,884.2324185307732,3,32.916841516213026,10.0
20,1030.6978932406528,4,1030.6978932406528,0.0
21,1033.4304580674527,6,1033.4304580674527,0.0
22,1023.8692480036665,4,1023.8692480036665,0.0
23,1029.1305749261458,4,1029.1305749261458,0.0
24,1009.3373279477327,2,1009.3373279477327,0.0
25,931.95392702875,3,31.63781327344134,10.0
26,1042.0365398770882,6,1042.0365398770882,0.0
27,1017.5903703852572,2,1017.5903703852572,0.0
28,1053.1163807920898,8,1053.1163807920898,0.0
29,1009.0509577156145,9,74.63324201608111,11.0
30,1063.5412522052397,8,1063.5412522052397,0.0
31,815.3658022843362,1,99.25147900290574,9.0
32,1012.63483098117,2,1012.63483098117,0.0
33,997.6919209285693,5,92.94434666988263,10.0
34,1026.5120351320006,4,1026.5120351320006,0.0
35,1022.6216098444788,2,1022.6216098444788,0.0
36,925.2740961056294,5,56.25176008659798,10.0
37,1027.313571219519,4,1027.313571219519,0.0
38,1017.7601022201497,2,1017.7601022201497,0.0
39,1085.6560891745034,8,1085.6560891745034,0.0
40,1048.1206032407108,9,73.89339433654914,11.0
41,815.338667963158,1,97.94859296214395,9.0
42,1038.1301323177868,6,1038.1301323177868,0.0
43,1035.4343695679709,4,1035.4343695679709,0.0
44,1038.9235468486477,13,39.128898658349726,12.0
45,1018.9022965400376,2,1018.9022965400376,0.0
46,1037.4141199944202,6,1037.4141199944202,0.0
47,1031.3219164433226,4,1031.3219164433226,0.0
48,1037.4345169577673,6,1037.4345169577673,0.0
49,1051.7122349585266,6,1051.7122349585266,0.0
50,888.1567564533674,3,48.75778051594057,10.0
51,851.6046429555198,9,79.03437109358356,11.0
52,1014.0222774022429,2,1014.0222774022429,0.0
53,1046.760740983722,6,1046.760740983722,0.0
54,962.8119788706543,1,13.614717983359697,10.0
55,1032.6362307498582,5,8.014005934044008,11.0
56,1045.4685108306548,6,1045.4685108306548,0.0
57,885.8514783219005,5,90.06111729418103,10.0
58,839.2080303272583,3,41.01189168337032,10.0
59,1037.8463143537474,6,1037.8463143537474,0.0
60,1027.9485040136074,5,83.48134859387369,10.0
61,826.853521756815,5,69.65655760811046,10.0
62,1019.533589259963,3,30.20996369692375,10.0
63,1033.5055949548484,4,1033.5055949548484,0.0
64,728.9201786156409,1,85.5475790146495,9.0
65,756.1604090819455,1,3.3783314724835236,10.0
66,1016.2310187656304,2,1016.2310187656304,0.0
67,864.9949064117034,1,85.2925171331683,9.0
68,1010.4917616250206,2,1010.4917616250206,0.0
69,1008.4927541010491,7,10.795073110346493,11.0
70,905.3585006961639,1,87.80272844190927,9.0
71,1016.1138614068464,2,1016.1138614068464,0.0
72,1065.9012822799302,8,1065.9012822799302,0.0
73,879.1478384011629,3,34.567027234139005,10.0
74,1010.3152610545195,2,1010.3152610545195,0.0
75,1015.2016416044971,2,1015.2016416044971,0.0
76,1041.5316560700294,6,1041.5316560700294,0.0
77,837.0459163291252,3,30.918053520337594,10.0
78,1023.9843722507663,2,1023.9843722507663,0.0
79,1023.5459432507508,2,1023.5459432507508,0.0
80,1025.8440871628936,4,1025.8440871628936,0.0
81,874.6607144069403,1,8.666998439297913,10.0
82,1014.0005630154243,7,16.014373935533058,11.0
83,1044.6204325628628,6,1044.6204325628628,0.0
84,617.5633261955165,1,96.69043236686923,9.0
85,921.1550657159311,7,4.872594735132225,11.0
86,1044.6056749702602,4,1044.6056749702602,0.0
87,1050.0856612069474,6,1050.0856612069474,0.0
88,1023.7864597855244,4,1023.7864597855244,0.0
89,982.5006442279793,1,12.021986766798477,10.0
90,994.2369076933792,5,78.01257994019738,10.0
91,1013.2956659979009,2,1013.2956659979009,0.0
92,1022.2073637316073,4,1022.2073637316073,0.0
93,1019.1776428521165,2,1019.1776428521165,0.0
94,960.2664625581211,5,63.75215873551963,10.0
95,1047.917842241162,6,1047.917842241162,0.0
96,1011.9619623118243,2,1011.9619623118243,0.0
97,1007.1930430700821,1,12.599436900484875,10.0
98,1049.1164936066684,6,1049.1164936066684,0.0
99,1009.4352329558856,2,1009.4352329558856,0.0
