seed,net_worth,trades,final_cash,final_position
43986,10211.664747821082,2,10211.664747821082,0.0
43987,9074.852710269572,5,71.96863267805202,116.0
43988,9786.136738439725,3,30.701555196781555,105.0
43989,10437.670985522267,4,10437.670985522267,0.0
43990,11221.473784019794,8,11221.473784019794,0.0
43991,10231.221037022253,2,10231.221037022253,0.0
43992,10481.611812395231,4,10481.611812395231,0.0
43993,10210.108690106394,2,10210.108690106394,0.0
43994,10286.94925570582,2,10286.94925570582,0.0
43995,10466.55249541465,4,10466.55249541465,0.0
43996,10797.518799341611,6,10797.518799341611,0.0
43997,10601.896397915618,4,10601.896397915618,0.0
43998,8401.473763710617,1,33.96927810761008,99.0
43999,10096.507928359935,5,39.806626933241205,111.0
44000,10123.503263700308,3,22.695706949980377,105.0
44001,7741.435658810796,1,35.313609839662604,99.0
44002,10218.685921337017,2,10218.685921337017,0.0
44003,10206.971042977646,2,10206.971042977646,0.0
44004,10796.261174619938,7,49.26281419017869,118.0
44005,10297.09369990666,2,10297.09369990666,0.0
44006,10816.215936583043,6,10816.215936583043,0.0
44007,10295.314604451269,2,10295.314604451269,0.0
44008,8903.290010568675,1,14.006477824284957,99.0
44009,8678.023437181473,3,21.442628475719175,109.0
44010,10250.262698822926,2,10250.262698822926,0.0
44011,8074.144623398246,1,93.07130085419158,99.0
44012,10499.089327090827,4,10499.089327090827,0.0
44013,10220.06661167065,2,10220.06661167065,0.0
44014,9191.74151226291,1,63.58667100573439,98.0
44015,8515.03285861385,5,52.616961568224724,111.0
44016,10226.451348592414,2,10226.451348592414,0.0
44017,8039.045496203618,1,6.192985405084983,98.0
44018,9334.666136876085,3,2.271098123614138,106.0
44019,8293.598464077404,1,43.91253187836446,100.0
44020,7961.445883876222,1,12.157773324648588,100.0
44021,10291.03302238269,2,10291.03302238269,0.0
44022,7903.997201571672,1,18.721277741711674,99.0
44023,10485.71328155162,4,10485.71328155162,0.0
44024,10478.71798399569,4,10478.71798399569,0.0
44025,11120.56194812213,8,11120.56194812213,0.0
44026,8059.257955883734,3,24.273534606147223,105.0
44027,10962.194711569959,8,10962.194711569959,0.0
44028,10521.57206314253,4,10521.57206314253,0.0
44029,9160.79437320051,3,53.50275326645897,106.0
44030,7784.3161186042025,1,61.030788060628765,100.0
44031,10059.909464187793,5,44.71108164557154,112.0
44032,10504.3232311349,4,10504.3232311349,0.0
44033,10683.625987903093,4,10683.625987903093,0.0
44034,9234.177210529628,1,52.38903412116633,100.0
44035,10296.998922450799,2,10296.998922450799,0.0
44036,10213.196591186059,2,10213.196591186059,0.0
44037,10426.712219937135,4,10426.712219937135,0.0
44038,10275.321902537524,2,10275.321902537524,0.0
44039,9248.028185886931,1,48.4518585158803,99.0
44040,10350.193249736356,2,10350.193249736356,0.0
44041,10467.981291603342,4,10467.981291603342,0.0
44042,10775.674029618753,6,10775.674029618753,0.0
44043,10728.328246367235,6,10728.328246367235,0.0
44044,10441.238688166408,4,10441.238688166408,0.0
44045,10494.844792492648,4,10494.844792492648,0.0
44046,10510.837432919809,4,10510.837432919809,0.0
44047,8854.123752697686,1,75.59382303956954,100.0
44048,10197.542315000137,2,10197.542315000137,0.0
44049,10617.826346565394,5,88.50758190762099,113.0
44050,10260.28851864583,2,10260.28851864583,0.0
44051,10508.552008183171,4,10508.552008183171,0.0
44052,10483.281921460157,4,10483.281921460157,0.0
44053,10299.660703484344,2,10299.660703484344,0.0
44054,10645.977960835944,4,10645.977960835944,0.0
44055,9225.167758824084,3,70.7471784770587,105.0
44056,10276.002480690926,2,10276.002480690926,0.0
44057,5330.535210296287,1,96.53451830026097,99.0
44058,8396.921644879289,3,52.8690528744537,104.0
44059,10264.581013343543,2,10264.581013343543,0.0
44060,7082.5988469338345,1,20.517231093821465,97.0
44061,8814.928148928493,5,38.05229775615044,110.0
44062,10197.208371741675,2,10197.208371741675,0.0
44063,7929.536696366321,1,17.01883715851727,98.0
44064,9928.246896096849,7,14.73836727453454,120.0
44065,10282.42562429915,2,10282.42562429915,0.0
44066,11044.806575759167,8,11044.806575759167,0.0
44067,8585.065574816954,1,5.393012187565546,99.0
44068,10570.07116247286,4,10570.07116247286,0.0
44069,10263.597956644076,2,10263.597956644076,0.0
44070,10627.083000937504,4,10627.083000937504,0.0
44071,10478.079672552036,4,10478.079672552036,0.0
44072,10270.569391751045,2,10270.569391751045,0.0
44073,10283.856219356907,2,10283.856219356907,0.0
44074,10459.841860533226,4,10459.841860533226,0.0
44075,10322.058034818472,2,10322.058034818472,0.0
44076,8440.846860038358,3,12.667512408770563,105.0
44077,10553.109637594187,4,10553.109637594187,0.0
44078,8299.338731754175,1,17.546824086597553,100.0
44079,10312.621658230028,2,10312.621658230028,0.0
44080,10018.909724787312,5,76.23122426355076,109.0
44081,10229.682037310424,2,10229.682037310424,0.0
44082,9873.88632840166,3,19.386761398529416,106.0
44083,9569.276480838398,3,80.91803044144399,106.0
44084,11075.057444999398,8,11075.057444999398,0.0
44085,10077.123951769645,7,11.594306666314878,122.0
44086,10276.013983556179,2,10276.013983556179,0.0
44087,10325.911207100204,2,10325.911207100204,0.0
44088,8677.535154189112,1,66.92536452392596,99.0
44089,10274.953909144768,2,10274.953909144768,0.0
44090,6802.36073476113,1,66.64616976352954,99.0
44091,10886.873796349284,7,26.82018928848629,117.0
44092,10477.450447028308,4,10477.450447028308,0.0
44093,10315.70993673461,2,10315.70993673461,0.0
44094,10505.999909364009,4,10505.999909364009,0.0
44095,10522.911014143288,4,10522.911014143288,0.0
44096,7826.993305134527,7,22.39167564626223,120.0
44097,10522.579395808003,4,10522.579395808003,0.0
44098,10205.503991714524,2,10205.503991714524,0.0
44099,10213.704256492198,2,10213.704256492198,0.0
44100,10503.417625265192,4,10503.417625265192,0.0
44101,10559.163238530957,4,10559.163238530957,0.0
44102,9620.961833006208,1,36.6139289077928,100.0
44103,10460.185757145902,3,9.379758212389788,106.0
44104,10777.849801039567,6,10777.849801039567,0.0
44105,8558.783449123,1,27.84955858491594,101.0
